GC%	P_vip
0.5	0.00009
1.5	0.00009
2.5	0.00009
3.5	0.00009
4.5	0.00009
5.5	0.00009
6.5	0.00009
7.5	0.00009
8.5	0.00009
9.5	0.00009
10.5	0.000224911
11.5	0.000134947
12.5	0.000224912
13.5	0.000314876
14.5	0.000269894
15.5	0.000224911
16.5	0.000539787
17.5	0.000697225
18.5	0.000854662
19.5	0.000764698
20.5	0.002249112
21.5	0.002249112
22.5	0.005487832
23.5	0.007579506
24.5	0.00967118
25.5	0.013539652
26.5	0.017678018
27.5	0.021816383
28.5	0.02498763
29.5	0.028158877
30.5	0.030655391
31.5	0.033151905
32.5	0.035131123
33.5	0.037110341
34.5	0.038369844
35.5	0.039629346
36.5	0.042395754
37.5	0.045162161
38.5	0.043767712
39.5	0.042373263
40.5	0.042418245
41.5	0.042463227
42.5	0.043340381
43.5	0.044217534
44.5	0.044217534
45.5	0.044217534
46.5	0.044307499
47.5	0.044397463
48.5	0.044554901
49.5	0.044712339
50.5	0.042778103
51.5	0.040843867
52.5	0.035490981
53.5	0.030138095
54.5	0.027079304
55.5	0.024020512
56.5	0.020826774
57.5	0.017633035
58.5	0.014191894
59.5	0.010750753
60.5	0.0098736
61.5	0.008996446
62.5	0.00906392
63.5	0.009131393
64.5	0.008434169
65.5	0.007736944
66.5	0.006567406
67.5	0.005397868
68.5	0.004115875
69.5	0.002833881
70.5	0.002024201
71.5	0.00121452
72.5	0.001169538
73.5	0.001889254
74.5	0.001169538
75.5	0.001147047
76.5	0.001124556
77.5	0.000629751
78.5	0.000359858
79.5	0.000382349
80.5	0.00040484
81.5	0
82.5	0
83.5	0
84.5	0
85.5	0
86.5	0
87.5	0
88.5	0
89.5	0
90.5	0
91.5	0
92.5	0
93.5	0
94.5	0
95.5	0
97.5	0
98.5	0
99.5	0
