dist_start_vip_ltr dist_end_vip_ltr
371 371
351 351
242 233
129 184
20 219
87 24
87 24
219 229
250 260
430 495
113 113
10 55
123 123
98 98
75 39
30 30
17 19
634 759
146 25
20 45
488 336
485 333
215 213
591 895
93 47
170 207
52 7
768 535
531 531
156 168
634 666
564 736
662 638
220 271
246 31
112 87
280 9
279 10
195 148
327 300
112 305
270 269
478 478
425 294
73 58
222 30
81 52
3 3
128 140
205 739
117 117
117 117
26 158
119 8
179 280
31 150
260 28
751 970
1419 1418
16 162
65 190
36 42
17 6
227 227
62 62
41 48
914 914
3536 3539
927 1630
254 308
247 319
41 61
74 23
621 261
119 167
119 167
188 248
446 30
1033 933
1033 933
47 45
95 80
93 586
15 205
40 13
92 65
494 490
37 276
46 44
136 42
90 551
340 169
532 619
104 148
104 148
321 101
665 734
666 735
127 227
88 94
88 94
131 80
881 771
640 496
29 100
332 341
19 748
28 28
58 29
53 24
57 28
207 208
685 5
15 293
284 44
213 98
313 314
166 384
264 159
222 193
230 289
236 232
118 220
36 45
38 182
900 871
596 819
10 15
62 12
141 191
274 33
28 28
1212 1172
33 33
71 71
61 77
58 379
54 67
118 360
652 317
1474 1047
95 49
35 4
249 255
600 584
3 3
3 3
408 288
408 288
419 107
1069 735
560 736
535 580
124 125
268 269
535 580
310 291
71 71
71 71
60 454
790 86
248 1566
129 129
112 138
365 367
424 384
65 13
104 182
1004 1075
736 526
164 142
132 104
104 78
66 169
249 535
95 206
98 75
98 75
263 224
381 342
210 88
77 98
285 386
100 123
98 120
405 168
66 170
71 30
293 315
125 24
293 315
417 703
473 770
60 20
405 375
303 264
344 459
1175 887
998 708
468 425
468 425
1313 1348
1356 1391
86 65
883 1070
1181 1181
152 201
172 120
131 129
131 129
72 72
37 538
83 123
982 950
159 140
86 441
680 680
426 426
12 3
1106 1106
244 245
40 31
104 275
41 30
103 274
329 339
397 78
370 364
152 85
1874 1847
1104 1036
829 680
299 299
502 502
185 185
223 223
607 551
10817 9517
3866 2566
784 2084
890 2190
30691 21024
33916 17799
27 4
310 357
310 357
1127 831
640 589
114 118
185 60
109 109
90 90
41 33
41 33
674 690
135 56
505 314
107 623
292 89
21 70
832 470
163 139
67 67
332 133
1152 617
1152 617
136 143
115 115
127 147
171 391
66 270
321 630
55 55
584 643
322 393
322 393
22 22
4 131
44 77
116 94
157 135
17 45
117 95
158 136
707 704
44 201
63 244
63 244
113 423
96 315
17 2
0 0
49 38
558 823
558 823
1404 1404
177 159
108 90
45 9
228 67
165 4
170 26
171 18
86 86
561 601
71 204
516 201
482 167
445 130
331 187
331 187
744 599
411 26
19 291
3665 3957
74 58
768 1062
447 537
78 74
130 272
346 259
71 160
385 385
389 389
329 59
580 192
22 177
144 319
848 955
1017 1171
123 97
116 109
78 221
38 211
321 290
322 291
70 28
165 325
11 11
80 392
289 353
151 86
317 349
294 229
325 260
141 122
35 240
225 529
146 160
341 397
109 149
26 51
53 190
13 306
402 811
546 846
283 782
864 383
105 109
1051 446
198 293
784 803
999 1445
356 435
503 504
5380 5380
5297 5297
1777 1775
1777 1775
488 568
357 621
346 215
4 102
158 9
68 55
69 41
329 333
766 800
133 201
133 201
396 383
324 331
19 171
95 137
1130 1035
109 172
171 175
51 56
342 388
142 45
2 15
530 496
44 52
1247 1201
179 468
754 761
56 100
252 30
306 520
96 24
279 238
137 168
238 318
221 79
243 54
232 43
214 86
266 369
49 21
69 50
450 187
167 40
189 147
168 213
1024 1069
343 156
63 47
72 152
125 99
95 140
375 245
375 245
106 19
167 167
584 520
9 134
211 246
111 90
122 150
137 42
1117 1117
45 5
45 5
36 36
134 156
272 464
344 412
53 53
213 359
112 285
815 33
354 489
122 96
300 351
256 50
83 6
318 318
397 251
1 260
689 535
711 557
260 178
357 287
1260 456
325 265
651 782
475 359
45 97
495 547
559 436
116 129
11 3
39 39
39 39
471 292
58 18
58 18
12 102
63 62
13 87
53 53
60 60
220 72
149 163
123 212
471 428
240 245
800 560
1230 1228
13 2
493 492
101 695
101 695
1402 1326
954 878
163 64
158 158
233 72
88 43
316 402
95 26
296 136
1735 1735
271 110
117 44
136 71
176 297
176 297
1472 1509
1655 1528
936 1002
2645 2261
68 64
28 32
359 459
24 225
781 1248
948 1415
666 368
374 359
54 5
2821 2664
93 93
76 41
67 377
228 364
43 109
46 106
361 241
359 227
117 66
495 541
186 503
29 30
156 123
265 265
38 46
1601 1761
122 218
345 366
75 70
911 1021
278 24
22 22
631 614
895 895
632 379
41 3
39 77
57 58
246 361
113 70
9 66
34 2
72 3
51 24
232 291
797 794
965 984
19 19
210 72
74 42
145 17
357 154
72 27
159 433
68 58
68 58
18 402
366 840
551 240
76 23
462 657
462 657
19 34
37 37
188 214
140 47
220 220
432 471
171 228
171 228
431 104
38 79
385 301
124 166
44 300
201 72
34 25
73 158
1689 1547
216 245
96 36
217 246
97 35
79 79
102 296
791 569
1580 1522
318 351
7 12
122 107
19 10
64 61
379 377
379 194
39 208
3 15
2 16
57 183
16 224
15 225
231 73
220 101
48 70
16 16
98 145
764 762
1452 1057
461 430
52 220
392 1144
12 159
12 159
16 163
15 15
1951 1292
1894 1235
216 371
32 107
77 28
1322 1482
1812 1568
840 540
885 585
1412 1721
1404 1713
59 59
70 70
1821 1577
1867 1623
1863 1673
1715 1821
1698 1838
1357 1517
1713 1823
1562 1722
1680 1840
1584 1744
1887 1643
1397 1557
1473 1633
1475 1635
1189 1349
821 981
19 276
7 288
1325 1030
1045 1083
222 247
216 253
1042 1080
948 634
1872 1628
104 140
1835 1591
1684 1844
1639 1799
1517 1677
1365 1525
1365 1525
1214 919
1214 919
1441 1601
1670 1830
1617 1777
8 287
1878 1634
1741 1795
1041 1079
1326 1031
1705 1831
1821 1577
1785 1751
1638 1798
1441 1601
1348 1508
2 47
2 47
121 68
136 131
2315 2134
127 428
187 89
211 113
4 64
65 125
42 260
179 144
96 114
122 62
199 254
152 140
204 38
33 277
254 33
71 71
840 1041
214 305
149 153
12 65
1380 1380
58 116
58 116
61 65
581 402
287 104
426 89
52 136
135 51
17 67
40 205
554 538
16 88
126 179
457 141
457 141
724 178
478 789
756 755
136 107
10 20
55 65
0 10
157 153
563 468
564 469
145 85
111 116
54 153
8 325
388 193
887 1121
1226 1228
500 688
446 432
664 708
157 71
77 81
179 156
248 206
371 371
181 251
181 251
2157 100
48 157
68 85
148 152
112 147
421 316
480 338
264 10
513 346
35 58
999 773
56 72
395 532
154 79
172 422
53 248
1153 1220
129 151
189 189
813 939
47 154
41 78
166 193
155 178
261 42
28 77
145 53
114 473
276 21
221 172
221 172
191 191
13 9
84 7
170 11
235 68
235 68
228 87
95 95
25 27
50 50
66 47
300 157
296 296
280 236
60 216
507 531
3 276
264 10
72 294
6 54
204 86
190 175
231 166
53 49
108 108
634 634
859 768
88 87
1133 1323
49 336
554 467
170 129
180 330
119 58
274 97
1370 889
1411 930
274 13
389 164
128 249
666 371
159 449
1239 980
1239 980
186 248
186 248
91 91
30 80
60 35
60 35
199 198
19 185
19 185
375 342
324 473
455 112
7 45
59 178
460 76
460 76
247 66
778 913
921 625
1175 1240
260 270
178 584
108 233
363 296
433 401
174 19
45 45
299 63
27 101
44 346
46 46
325 89
88 36
609 293
752 663
867 778
38 337
130 43
428 436
428 436
681 226
126 126
319 132
318 131
18 308
55 55
45 72
181 61
49 98
254 486
169 72
295 593
29 32
470 373
470 373
31 50
508 463
43 62
743 753
368 491
43 22
35 35
104 75
390 315
84 27
2 151
276 154
10 55
9 54
8 842
176 236
326 35
70 70
195 513
184 202
14 36
15 35
78 38
53 55
53 55
308 551
212 134
746 501
161 178
746 654
208 409
140 147
168 175
517 601
46 46
28 481
27 480
227 227
581 765
742 839
119 135
208 578
770 759
45 48
65 179
302 22
212 40
767 734
767 734
126 70
59 59
169 123
246 4
91 275
246 187
1183 1185
2088 2056
757 757
757 757
345 422
32 146
68 50
140 303
167 110
201 20
879 836
199 18
90 90
381 600
36 514
133 133
185 277
58 16
244 292
30 71
280 151
81 29
319 323
54 177
78 243
9 14
327 241
294 548
512 212
512 212
636 558
755 677
70 370
12 155
12 155
142 3
56 20
67 70
5 63
831 1023
1028 1009
59 7
85 323
613 1060
191 191
204 627
81 67
21 18
21 18
40 79
467 464
9616 9614
9665 9663
324 324
403 403
1796 2043
9830 9830
5534 5287
5450 5203
283 230
10 10
248 120
65 218
41 9
425 260
93 93
210 6
53 53
10 4
126 139
5 5
97 140
322 361
292 69
293 70
33 100
228 287
82 10
82 10
450 330
194 98
194 98
419 362
419 362
624 325
463 422
1322 1276
84 212
124 172
15 68
286 739
144 119
8 410
665 838
116 116
137 388
636 638
2127 2151
126 925
402 494
21 47
155 152
285 173
1036 949
975 1005
499 256
1291 994
20 20
51 11
162 106
29 30
596 747
383 563
84 95
578 446
94 94
527 573
1554 1600
1578 1506
165 237
106 43
25 38
165 102
47 16
328 400
118 190
257 194
7883 7877
183 120
55 108
607 748
722 687
607 748
329 188
245 293
722 687
293 240
1374 1368
1564 1558
3642 3636
3389 3383
167 63
1 1
48 48
187 367
54 54
490 542
231 62
110 155
256 257
232 245
708 710
97 156
528 528
528 528
149 149
1541 1541
490 683
30 39
136 127
207 107
489 602
158 158
740 1047
1206 1683
470 372
423 433
101 101
221 149
112 52
114 732
121 208
2806 2956
65 194
85 107
312 287
52 355
55 358
123 426
123 426
441 189
672 451
2210 2213
328 410
134 134
563 561
54 111
75 35
1114 1423
10 73
10 73
61 168
15 39
353 342
5 5
5 5
192 217
68 113
68 113
171 12
7 339
339 215
319 132
310 310
81 410
164 186
145 200
145 200
788 787
138 137
136 135
102 113
33 33
724 521
13459 13459
122 117
99 99
449 478
466 464
443 472
51 94
95 97
93 180
126 3
107 182
107 182
170 48
48 64
1492 1546
207 196
207 196
44 242
2576 2576
86 313
657 197
50 92
72 143
345 165
345 165
119 220
44 178
36 36
127 275
12 15
382 78
381 77
477 173
249 113
12 41
67 0
161 293
162 56
25 154
316 28
416 35
452 608
555 634
480 255
153 157
258 255
56 56
169 22
52 350
52 350
62 116
47 101
393 251
169 125
304 135
22 286
217 512
629 334
216 511
649 354
49 49
136 136
234 232
16 167
16 167
47 40
47 40
65 20
66 21
8 5
314 79
313 78
7 4
103 130
689 831
187 45
11 46
11 46
397 552
113 113
94 49
106 19
196 335
195 334
124 263
12231 12239
19336 19336
10998 10998
2062 2062
2012 2012
33 131
18 124
393 378
394 379
303 402
1214 1334
872 4
1028 997
777 593
128 79
517 737
611 611
179 79
16 223
82 2
82 2
254 136
165 234
3068 3068
22 57
540 570
1164 1159
11 126
10 125
91 172
91 172
179 147
45 62
55 55
154 151
114 13
31 5
67 38
101 119
565 571
819 711
106 190
747 22
704 156
571 449
96 225
74 73
2270 2336
2275 2341
224 49
113 53
71 11
88 118
